,Product Name,Type,Specific Type,Payment Method,Vendor,Ships From,Ships To,Order Quantity,Price,IDENTIFIER
product 7,Leftys - Ketamin - Special S,Disassociatives,Ketamine,Escrow,Leftys,Sweden,Worldwide,1g,27,Leftys
product 0,TRUSTED GERMAN COCAINE SELLER! * KOKAIN 71 EURO* +88% ROCKS,Stimulants,Coke,Escrow,lekkercocaine,Germany,Worldwide,1g,71,lekkercocaine
product 1,50 Euro SPECIAL OFFER GERMAN COCAINE SELLER! * KOKAIN * +88%,Stimulants,Coke,Escrow,lekkercocaine,Germany,Worldwide,1g,50,lekkercocaine
product 0,PERUVIAN COCAINE 94% AVEC SUIVI,Stimulants,Coke,Escrow,LesDeuxFreres,France,Europe,1g,69,LesDeuxFreres
product 1,LSD 300ug HQ Avec suivi,Pyschedelic,LSD,Escrow,LesDeuxFreres,France,Europe,10,20,LesDeuxFreres
product 2,KETAMINE S-ISOMER NEEDLES,Disassociatives,Ketamine,Escrow,LesDeuxFreres,France,Europe,1g,19,LesDeuxFreres
product 3,High Quality MDMA champagne Tracked,Ecstasy,MDMA,Escrow,LesDeuxFreres,France,Europe,1g,15,LesDeuxFreres
product 4,Super Strong Heroin AAA+ Heroine SUIVI,Opiates,Heroin,Escrow,LesDeuxFreres,France,Europe,1g,29,LesDeuxFreres
product 5,XTC PILLS BLUE PUNISHER  280 MG SUIVI,Ecstasy,Pills,Escrow,LesDeuxFreres,France,Europe,10,25,LesDeuxFreres
product 6,HIGH QUALITY Amphetamine Speed Paste France to France SUIVI,Stimulants,Speed,Escrow,LesDeuxFreres,France,Europe,10g,35,LesDeuxFreres
product 0,RITALIN,Stimulants,Smartdrugs,Escrow,LilHoss,Netherlands,Worldwide,5,15,LilHoss
product 1,Dexamphetamine capsules 10mg,Stimulants,Smartdrugs,Escrow,LilHoss,Netherlands,Worldwide,10,22,LilHoss
product 2,TRAMADOL 225 mg,Opiates,Pills,Escrow,LilHoss,Netherlands,Europe,10,25,LilHoss
product 3,HQ Dry Speed,Stimulants,Speed,Escrow,LilHoss,Netherlands,Worldwide,1g,10,LilHoss
product 4,HQ Speed Paste,Stimulants,Speed,Escrow,LilHoss,Netherlands,Worldwide,1g,8,LilHoss
product 0,Golden Teachers (whole)  🍄,Pyschedelic,Mushrooms,Escrow,LittleBits,United Kingdom,United Kingdom,5g,43,LittleBits
product 1,Jedi Mind Fuck (whole) (new) 🍄,Pyschedelic,Mushrooms,Escrow,LittleBits,United Kingdom,United Kingdom,2.5g,26,LittleBits
product 2,Gamma Goblin - Gamma Geometry tabs - 105ug,Pyschedelic,LSD,Escrow,LittleBits,United Kingdom,United Kingdom,5,23,LittleBits
product 3,Z3 - Zkittlez x Hindu Kush,Cannabis,Buds & Flowers,Escrow,LittleBits,United Kingdom,United Kingdom,3.5g,34,LittleBits
product 4,XTC pills - PostNL - 220mg,Ecstasy,Pills,Escrow,LittleBits,United Kingdom,United Kingdom,5,28,LittleBits
product 5,Soft Moroccan Blonde Hash,Cannabis,Hash,Escrow,LittleBits,United Kingdom,United Kingdom,3.5g,32,LittleBits
product 6,Blue Meanie (whole) 🍄,Pyschedelic,Mushrooms,Escrow,LittleBits,United Kingdom,United Kingdom,5g,43,LittleBits
product 7,RSO - Cannabis Extract - 2 grams,Cannabis,Concentrates,Escrow,LittleBits,United Kingdom,United Kingdom,2g,48,LittleBits
product 0,Buddha * 200ug LSD-25 * White Fluff X-tal [EU],Pyschedelic,LSD,Escrow,LordHuracan,Netherlands,Europe,10,30,LordHuracan
product 1,Mayan Calendar * 300ug LSD-25 * White Fluff X-tal [EU],Pyschedelic,LSD,Escrow,LordHuracan,Netherlands,Europe,10,30,LordHuracan
product 2,Californian Dream * 200ug LSD-25 * White Fluff X-tal [EU],Pyschedelic,LSD,Escrow,LordHuracan,Netherlands,Europe,10,30,LordHuracan
product 3,Trippy Tubes * 200ug REAL LSD-25 * White Fluff X-tal [EU],Pyschedelic,LSD,Escrow,LordHuracan,Netherlands,Europe,10,30,LordHuracan
product 4,[PROMO] Mayan Calendar 300 ug * LSD-25 * White Fluff X-tal,Pyschedelic,LSD,Escrow,LordHuracan,Netherlands,Worldwide,3,10,LordHuracan
product 5,100g-1kg HQ S-ISOMER KETAMIN SHARDS Indian Import [EU],Disassociatives,Ketamine,Escrow,LordHuracan,Germany,Europe,100g,800,LordHuracan
product 6,Hofmann Bicycle * 200ug LSD-25 * White Fluff X-tal [WW],Pyschedelic,LSD,Escrow,LordHuracan,Netherlands,Worldwide,10,35,LordHuracan
product 7,Hofmanns Molecule 300ug * LSD-25 * White Fluff X-tal [EU],Pyschedelic,LSD,Escrow,LordHuracan,Netherlands,Europe,10,30,LordHuracan
product 0,"Speed Amphetamine ""PASTE"" 80%! FREE SHIPPING",Stimulants,Speed,Escrow,Loszetasmeth,Germany,Worldwide,6g,21,Loszetasmeth
product 1,KETAMINE NEEDLE S-ISOMER HIGH QUALITY,Disassociatives,Ketamine,Escrow,Loszetasmeth,Germany,Worldwide,1g,20,Loszetasmeth
product 2,Crystal Meth 96% Crystal clear Ice! FREE SHIPPING,Stimulants,Meth,Escrow,Loszetasmeth,Germany,Worldwide,1g,24,Loszetasmeth
product 3,"SPEED for Injection  ""PURE 100%"" AMPHETAMINE",Stimulants,Speed,Escrow,Loszetasmeth,Germany,Worldwide,2g,22,Loszetasmeth
product 4,20G HEROINE & 5G BLIVIAN COKE,Cannabis,Buds & Flowers,Escrow,Loszetasmeth,Germany,Worldwide,25g,760,Loszetasmeth
product 5,speed und ice,Cannabis,Buds & Flowers,Escrow,Loszetasmeth,Germany,Worldwide,55g,300,Loszetasmeth
product 6,3-MMC (Metaphedrone) FREE WORLDWIDE SHIPPING,Prescriptions,Metformin,Escrow,Loszetasmeth,Germany,Worldwide,1g,20,Loszetasmeth
product 7,KETAMINE HIGH QUALITY SUGAR - FREE SHIPPING,Disassociatives,Ketamine,Escrow,Loszetasmeth,Germany,Worldwide,1g,14,Loszetasmeth
product 0,Xylazine HCL 99%+ Powder -Cut / Enhance Heroin Opiate 120g+,Benzodiazepines,Powder,Escrow,loveandhate,United States of America,United States of America,150g,1076,loveandhate
product 1,Tianeptine Sulfate 99%+ Powder Stablon Coaxil Anxiety,Benzodiazepines,Other,Escrow,loveandhate,United States of America,United States of America,1g,32,loveandhate
product 2,Vardenafil Powder Generic Levitra 99.5%,Prescriptions,Potency enhancers,Escrow,loveandhate,United States of America,United States of America,2g,37,loveandhate
product 3,450mg Proglumide Capsules - Reverse Opioid Tolerance,Opiates,Heroin,Escrow,loveandhate,United States of America,United States of America,10,55,loveandhate
product 4,Proglumide Powder - Reduce Or Reverse Opioid Tolerance Oxy,Opiates,Pills,Escrow,loveandhate,United States of America,United States of America,5g,34,loveandhate
product 5,Gabapentin Powder 99.5%+ Anxiety Opioid Withdrawal Relief,Benzodiazepines,Other,Escrow,loveandhate,United States of America,United States of America,5g,55,loveandhate
product 6,450mg Gabapentin Capsules - Anxiety Opioid Withdrawal Relief,Benzodiazepines,Other,Escrow,loveandhate,United States of America,United States of America,25,87,loveandhate
product 7,Tadalafil 99%+ Powder Cialis Better Than All Those Others!,Prescriptions,Potency enhancers,Escrow,loveandhate,United States of America,United States of America,1g,26,loveandhate
product 0,1g-100g | 3-MMC Metaphedrone 99% | Super safe shipping!,Stimulants,3-MMC,Escrow,LSDexpress,Netherlands,Worldwide,1g,25,LSDexpress
product 1,10x-2500x | 100ug LSD 99.7% | Super safe shipping!,Pyschedelic,LSD,Escrow,LSDexpress,Netherlands,Worldwide,10,25,LSDexpress
product 2,1g-100g | Ketamine R-isomer 98% | Super safe shipping!,Disassociatives,Ketamine,Escrow,LSDexpress,Netherlands,Worldwide,1g,25,LSDexpress
product 3,10x-500x | 2mg Flualprazolam Xanax | Super safe shipping!,Benzodiazepines,Pills,Escrow,LSDexpress,Netherlands,Worldwide,10,25,LSDexpress
product 4,5x-2500x | 200ug LSD 99.7% | Super safe shipping!,Pyschedelic,LSD,Escrow,LSDexpress,Netherlands,Worldwide,5,25,LSDexpress
product 5,5x-2500x | 180ug LSD 99.7% | Super safe shipping!,Pyschedelic,LSD,Escrow,LSDexpress,Netherlands,Worldwide,5,25,LSDexpress
product 6,FREE PROMO! | 3x 180ug LSD 99.7% | Super safe shipping!,Pyschedelic,LSD,Escrow,LSDexpress,Netherlands,Worldwide,3,1,LSDexpress
product 7,5x-2500x | 250ug LSD 99.7% | Super safe shipping!,Pyschedelic,LSD,Escrow,LSDexpress,Netherlands,Worldwide,5,28,LSDexpress
product 0,Mushrooms Ape Smalls 28g-448g - Fast Shipping with Tracking,Pyschedelic,Mushrooms,Escrow,lucky777,United States of America,United States of America,1oz,69,lucky777
product 1,Mix n Match Carts - Fast Shipping with Tracking,Cannabis,Concentrates,Escrow,lucky777,United States of America,United States of America,1,6,lucky777
product 2,Mix n match Edibles - Fast Shipping with Tracking,Cannabis,Edibles,Escrow,lucky777,United States of America,United States of America,1,5,lucky777
product 3,Mix n Match 2g Disposable - Fast Shipping with Tracking,Cannabis,Concentrates,Escrow,lucky777,United States of America,United States of America,1,12,lucky777
product 4,Mix n Match 1g Disposable - Fast Shipping with Tracking,Cannabis,Concentrates,Escrow,lucky777,United States of America,United States of America,1,9,lucky777
product 5,Cake Extracts 28g-448g - Fast Shipping with Tracking,Cannabis,Concentrates,Escrow,lucky777,United States of America,United States of America,1oz,115,lucky777
product 6,Forbidden Fruit - 28g-448g - Fast Shipping with Tracking,Cannabis,Buds & Flowers,Escrow,lucky777,United States of America,United States of America,1oz,92,lucky777
product 7,Mushrooms Ape 28g-448g - Fast Shipping with Tracking,Pyschedelic,Mushrooms,Escrow,lucky777,United States of America,United States of America,1oz,83,lucky777
product 0,Premium White Widow,Cannabis,Buds & Flowers,Escrow,Luckyluke123,Germany,Europe,50g,200,Luckyluke123
product 1,Ketama Gold Hasch,Cannabis,Hash,Escrow,Luckyluke123,Germany,Europe,5g,35,Luckyluke123
product 2,Reseller Speed Paste,Stimulants,Speed,Escrow,Luckyluke123,Germany,Europe,5g,20,Luckyluke123
product 3,Premium Speed Paste,Stimulants,Speed,Escrow,Luckyluke123,Germany,Europe,5g,25,Luckyluke123
product 4,Champagne MDMA 83%,Ecstasy,MDMA,Escrow,Luckyluke123,Germany,Europe,5g,35,Luckyluke123
product 5,O2 Sim Karte,Other,SIM Cards & Phones,Escrow,Luckyluke123,Germany,Europe,1,30,Luckyluke123
product 6,2cb red NASA 24mg,Pyschedelic,2C-x,Escrow,Luckyluke123,Germany,Europe,5,20,Luckyluke123
product 7,Amphetaminöl,Stimulants,Speed,Escrow,Luckyluke123,Germany,Europe,10ml,65,Luckyluke123
product 0,Feminized Auto LuckySeeds #1,Cannabis,Seeds,Escrow,LuckySeeds,Sweden,Europe,50,18,LuckySeeds
product 0,🌱 DRY SIFT 🍫 PREMIUM HASH,Cannabis,Hash,Escrow,LuckyXLuke,Germany,Worldwide,1g,18,LuckyXLuke
product 1,🍌 BANANA MAC 🌱 CALI,Cannabis,Buds & Flowers,Escrow,LuckyXLuke,Germany,Worldwide,1g,20,LuckyXLuke
product 2,❄️ Frozen Cream HASH 🍫 TRIPPLE FILTERED,Cannabis,Hash,Escrow,LuckyXLuke,Germany,Worldwide,1g,15,LuckyXLuke
product 3,🌱 BIO 👑 ROYAL 🧀 CHEESE (homegrow),Cannabis,Buds & Flowers,Escrow,LuckyXLuke,Germany,Worldwide,1g,11,LuckyXLuke
product 4,🍫 Choco Split-Bar Light Chocolate 🍀 500MG (vegan)💉,Cannabis,Edibles,Escrow,LuckyXLuke,Germany,Worldwide,1,25,LuckyXLuke
product 5,🍀 6x CANNA CHOCO LEAVES LIGHT 🍫 400MG (vegan) 💉,Cannabis,Edibles,Escrow,LuckyXLuke,Germany,Worldwide,1,20,LuckyXLuke
product 6,🌱 AMNESIA GOLD 🍫 HASH,Cannabis,Hash,Escrow,LuckyXLuke,Germany,Worldwide,1g,12,LuckyXLuke
product 7,🧇 12x MINI WAFFLES 🍫 DARK 🍀 400MG (vegan),Cannabis,Edibles,Escrow,LuckyXLuke,Germany,Worldwide,1,30,LuckyXLuke
product 0,"drops 10ug Microdose Vial,lsd in Liquid form,from 99.5%+ pur",Pyschedelic,LSD,Escrow,LucySkyDiamonds,United Kingdom,Worldwide,100,91,LucySkyDiamonds
product 1,SouthPark LSD tab 350 micro grams 350 UG from pure Aztec,Pyschedelic,LSD,Escrow,LucySkyDiamonds,United Kingdom,Worldwide,3,28,LucySkyDiamonds
product 2,BUGS BUNNY LSD tab 130 micro grams 130 UG 99.5%+ pure Aztec,Pyschedelic,LSD,Escrow,LucySkyDiamonds,United Kingdom,Worldwide,3,19,LucySkyDiamonds
product 3,0.1g Mircodose caps Golden Teacher Magic Mushrooms,Pyschedelic,Mushrooms,Escrow,LucySkyDiamonds,United Kingdom,Worldwide,30,63,LucySkyDiamonds
product 4,White LSD tab 125 micro grams 125 UG from 99.5%+ pure Aztec,Pyschedelic,LSD,Escrow,LucySkyDiamonds,United Kingdom,Worldwide,3,18,LucySkyDiamonds
product 5,CANDY LSD jelly sugar candy 250 micro grams (250UG),Pyschedelic,LSD,Escrow,LucySkyDiamonds,United Kingdom,Worldwide,10,63,LucySkyDiamonds
product 6,White LSD tab 200 micro grams 200 UG from 99.5%+ pure Aztec,Pyschedelic,LSD,Escrow,LucySkyDiamonds,United Kingdom,Worldwide,3,22,LucySkyDiamonds
product 7,0.2g Mircodose caps Golden Teacher Magic Mushrooms,Pyschedelic,Mushrooms,Escrow,LucySkyDiamonds,United Kingdom,Worldwide,30,68,LucySkyDiamonds
product 0,Lovegra 100mg,Prescriptions,Other,Escrow,Lustakuten,Sweden,Europe,4,15,Lustakuten
product 1,Generisk Cialis 20 mg ( 10 Tab),Prescriptions,Other,Escrow,Lustakuten,Sweden,Europe,10,16,Lustakuten
product 2,Generisk Viagra 100mg ( 10 Tab),Prescriptions,Other,Escrow,Lustakuten,Sweden,Europe,10,16,Lustakuten
product 3,Kamagra 100mg,Prescriptions,Other,Escrow,Lustakuten,Sweden,Europe,4,11,Lustakuten
product 0,NEXT DAY DELIVERY Donkey Kong 250mg Ecstacy Pills LAB TESTED,Ecstasy,Pills,Escrow,madmax01,United Kingdom,United Kingdom,5,34,madmax01
product 1,🍃 SKYWALKER OG KUSH WEED AAAA NDD 🍃,Cannabis,Buds & Flowers,Escrow,madmax01,United Kingdom,United Kingdom,3.5g,39,madmax01
product 2,🍃 PLATINUM PURPLE KUSH WEED AAAA  🍃,Cannabis,Buds & Flowers,Escrow,madmax01,United Kingdom,United Kingdom,3.5g,41,madmax01
product 3,NEXT DAY DELIVERY SQUID GAME 250mg Ecstacy Pills LAB,Ecstasy,Pills,Escrow,madmax01,United Kingdom,United Kingdom,5,34,madmax01
product 4,🍃 VELVET BUD HIGH GRADE WEED AAAA NDD 🍃,Cannabis,Buds & Flowers,Escrow,madmax01,United Kingdom,United Kingdom,3.5g,39,madmax01
product 5,🔥 BOLIVIAN COCAINE PURE OFF THE BRICK NEXT DAY POST 🔥,Stimulants,Coke,Escrow,madmax01,United Kingdom,United Kingdom,1g,87,madmax01
product 6,🍃 BUBBA OG KUSH HIGH GRADE WEED AAAA NDD 🍃,Cannabis,Buds & Flowers,Escrow,madmax01,United Kingdom,United Kingdom,3.5g,39,madmax01
product 7,🏃💨 SPEED AAAA GRADE HIGHEST PURITY NDD,Stimulants,Speed,Escrow,madmax01,United Kingdom,United Kingdom,5g,34,madmax01
product 0,10g - Medical Hybrid,Cannabis,Buds & Flowers,Escrow,maerchenwald,Switzerland,Switzerland,10g,110,maerchenwald
product 1,Gorilla Zkittlez - CALI Strain - Amazing Quality,Cannabis,Buds & Flowers,Escrow,maerchenwald,Switzerland,Switzerland,10g,120,maerchenwald
product 2,10g - Super Maroc (Sativa),Cannabis,Hash,Escrow,maerchenwald,Switzerland,Switzerland,10g,120,maerchenwald
product 3,Cinderella99 - 85% Sativa - Amazing Quality and clean stuff,Cannabis,Buds & Flowers,Escrow,maerchenwald,Switzerland,Switzerland,10g,110,maerchenwald
product 4,1g DMT,Pyschedelic,DMT,Escrow,maerchenwald,Switzerland,Switzerland,1g,140,maerchenwald
product 5,GSC GirlScoutCookies - CALI Strain - Amazing Quality,Cannabis,Buds & Flowers,Escrow,maerchenwald,Switzerland,Switzerland,10g,110,maerchenwald
product 6,10g - Skywalker - CALI Strain - Nice 50:50 hybrid,Cannabis,Buds & Flowers,Escrow,maerchenwald,Switzerland,Switzerland,10g,110,maerchenwald
product 7,Gelato #33 - Up to 25% THC,Cannabis,Buds & Flowers,Escrow,maerchenwald,Switzerland,Switzerland,10g,125,maerchenwald
product 0,DUTCH MDMA CHAMPAGNE,Ecstasy,MDMA,Escrow,maestrodutch,France,Worldwide,1g,20,maestrodutch
product 1,KETAMINE SUGAR ISOMER,Disassociatives,Ketamine,Escrow,maestrodutch,France,Worldwide,1g,23,maestrodutch
product 2,COLOMBIAN COCAINE,Stimulants,Coke,Escrow,maestrodutch,France,Worldwide,1g,45,maestrodutch
product 3,SPEED AMPHETAMINE HIGH QUALITY,Stimulants,Speed,Escrow,maestrodutch,France,Worldwide,25g,87,maestrodutch
product 4,3MMC / Metaphedrone / Meow Meow,Stimulants,3-MMC,Escrow,maestrodutch,France,Worldwide,1g,30,maestrodutch
product 5,BOLIVIAN COCAINE PURE,Stimulants,Coke,Escrow,maestrodutch,France,Worldwide,1g,70,maestrodutch
product 6,KETAMINE NEEDLES ISOMER,Disassociatives,Ketamine,Escrow,maestrodutch,France,Worldwide,1g,23,maestrodutch
product 7,HEROIN FROM IRAN,Opiates,Heroin,Escrow,maestrodutch,France,Worldwide,1g,29,maestrodutch
product 0,(3.5g - 56g) White Fire OG - United Kingdom,Cannabis,Buds & Flowers,Escrow,Maling47,United Kingdom,United Kingdom,3.5g,31,Maling47
product 1,(3.5g - 56g) Mimosa - United Kingdom,Cannabis,Buds & Flowers,Escrow,Maling47,United Kingdom,United Kingdom,3.5g,23,Maling47
product 2,(3.5g - 56g) BLUE DREAM - United Kingdom,Cannabis,Buds & Flowers,Escrow,Maling47,United Kingdom,United Kingdom,3.5g,28,Maling47
product 3,(3.5g - 56g) Tropicana Cookies - United Kingdom,Cannabis,Buds & Flowers,Escrow,Maling47,United Kingdom,United Kingdom,3.5g,23,Maling47
product 4,(10x20 cigs) Marlboro RED - United Kingdom Next Day,Tobacco,Cigarretes,Escrow,Maling47,United Kingdom,United Kingdom,1,43,Maling47
product 5,(10 packs of 50g) AMBER LEAF - United Kingdom Next Day,Tobacco,Tobacco,Escrow,Maling47,United Kingdom,United Kingdom,1,48,Maling47
product 6,(3.5g - 56g) Tangerine Dream - United Kingdom,Cannabis,Buds & Flowers,Escrow,Maling47,United Kingdom,United Kingdom,3.5g,23,Maling47
product 7,(3.5g - 56g) Sour Diesel - United Kingdom,Cannabis,Buds & Flowers,Escrow,Maling47,United Kingdom,United Kingdom,3.5g,31,Maling47
product 0,100-200ug Crystal White Fluff 98% pure LSD,Pyschedelic,LSD,Escrow,MandoLsd,Spain,Worldwide,15,45,MandoLsd
product 1,MDMA champagne dutch quality,Ecstasy,MDMA,Escrow,MandoLsd,Spain,Worldwide,3g,51,MandoLsd
product 0,Galenika # Ksalol 1 mg # introduksjonspriser,Benzodiazepines,Pills,Escrow,Mangoo,Norway,Norway,25,35,Mangoo
product 0,5-500x Goblins Gift 105ug LSD - Gammagoblin,Pyschedelic,LSD,Escrow,Mankind,United Kingdom,United Kingdom,5,28,Mankind
product 1,5-1000x Majora 2C-B Pills 24mg ~ UK,Pyschedelic,2C-x,Escrow,Mankind,United Kingdom,United Kingdom,5,28,Mankind
product 2,5-500x Panama Owl XTC Pills 260MG MDMA UK,Ecstasy,Pills,Escrow,Mankind,United Kingdom,United Kingdom,5,28,Mankind
product 3,2C-B Clean Powder 2CB UK,Pyschedelic,2C-x,Escrow,Mankind,United Kingdom,United Kingdom,0.25g,51,Mankind
product 4,0.25g-5g Magic Mushrooms Powder! (4-HO-MET) UK,Pyschedelic,Mushrooms,Escrow,Mankind,United Kingdom,United Kingdom,0.25g,62,Mankind
product 5,5-250x GammaGoblins Den 200ug LSD - Aztec XTAL,Pyschedelic,LSD,Escrow,Mankind,United Kingdom,United Kingdom,5,33,Mankind
product 6,5-1000x Maserati XTC Pills 300mg MDMA,Ecstasy,Pills,Escrow,Mankind,United Kingdom,United Kingdom,5,31,Mankind
product 0,Adderall IR 30mg. Overnight shipping available!,Stimulants,Pills,Escrow,maroney55,United States of America,United States of America,30,46,maroney55
product 0,Royal Cream Hash | AAA Medical | FREE NDD,Cannabis,Hash,Escrow,martell,United Kingdom,United Kingdom,1g,10,martell
product 1,OG Kush | AAA Medical | FREE NDD,Cannabis,Buds & Flowers,Escrow,martell,United Kingdom,United Kingdom,1g,11,martell
product 2,Amnesia Haze | AAAA Medical | FREE NDD,Cannabis,Buds & Flowers,Escrow,martell,United Kingdom,United Kingdom,1g,11,martell
product 3,PURE BOLIVIAN 89% FISHSCALE COCAINE - FREE NDD,Stimulants,Coke,Escrow,martell,United Kingdom,United Kingdom,0.2g,22,martell
product 0,3-MMC - XTC OFFERT !,Stimulants,3-MMC,Escrow,mastersWW,France,Multiple,2g,50,mastersWW
product 1,XTC SKULLS 200mg !,Ecstasy,Pills,Escrow,mastersWW,France,Multiple,3,20,mastersWW
product 2,2-CB PIKATCHU 20mg !,Pyschedelic,2C-x,Escrow,mastersWW,France,France,3,20,mastersWW
product 3,4-MMC - XTC OFFERT !,Stimulants,4-MMC Mephedrone,Escrow,mastersWW,France,Multiple,2g,30,mastersWW
product 4,MDMA - KÉTAMINE OFFERTE !,Ecstasy,MDMA,Escrow,mastersWW,France,France,2g,30,mastersWW
product 5,KÉTAMINE NEEDLES - XTC OFFERT !,Disassociatives,Ketamine,Escrow,mastersWW,France,France,2g,40,mastersWW
product 0,Custom Listing! For our custom customers :),Cannabis,Buds & Flowers,Escrow,mayehessman,United States of America,Worldwide,1,1,mayehessman
product 1,STiiiZY Original 1g Pods | 100% Legit Authentic,Cannabis,Concentrates,Escrow,mayehessman,United States of America,Worldwide,1,57,mayehessman
product 2,Mushroom Capsules 💊 200mg | Cubensis Powder | Vegan Caps,Pyschedelic,Mushrooms,Escrow,mayehessman,United States of America,Worldwide,20,46,mayehessman
product 3,🍄 Penis Envy Mushrooms ( + others) | ✨ $90/oz ✨,Pyschedelic,Mushrooms,Escrow,mayehessman,United States of America,United States of America,1oz,83,mayehessman
product 4,"Indoor FIRE AAA Exotics - Gelato, Runtz, OGs + more | 175/oz",Cannabis,Buds & Flowers,Escrow,mayehessman,United States of America,Worldwide,1oz,161,mayehessman
product 0,Tilidin 200mg/16mg | ALIUD PHARMA | Deutsche Apotheken Ware,Opiates,Pills,Escrow,Medical4you,Germany,Germany,10,30,Medical4you
product 1,Xanax 2mg |  Xanax Bars |  Pressed |  UK Import,Benzodiazepines,Xanax,Escrow,Medical4you,Germany,Germany,10,19,Medical4you
product 2,Clonazepam 2mg | Neuraxpharm | Rivotril | Deutsche Apotheke,Benzodiazepines,Pills,Escrow,Medical4you,Germany,Germany,25,50,Medical4you
product 3,Pregabalin 300mg | STADA | Lyrica | Deutsche Apotheken Ware,Prescriptions,Pregabalin,Escrow,Medical4you,Germany,Germany,10,35,Medical4you
product 4,Sildenafil 100mg | Beta P | Viagra | Deutsche Apotheken Ware,Prescriptions,Other,Escrow,Medical4you,Germany,Germany,4,30,Medical4you
product 5,Modafinil 200mg | Neuraxpharm | Modafinil | Deutsche Apo War,Stimulants,Pills,Escrow,Medical4you,Germany,Germany,10,135,Medical4you
product 6,DHC 120mg | Dihydrocodein | Mundipharma |  Deutsche Apo Ware,Opiates,Codeine,Escrow,Medical4you,Germany,Germany,10,115,Medical4you
product 7,Bromazepam 6mg | HEXAL | Bromazanil | Deutsche Apotheken War,Benzodiazepines,Pills,Escrow,Medical4you,Germany,Germany,10,20,Medical4you
product 0,RS11,Cannabis,Buds & Flowers,Escrow,MedicineMan420,United Kingdom,Europe,1g,15,MedicineMan420
product 1,Custom for Cartman,Cannabis,Buds & Flowers,Escrow,MedicineMan420,United Kingdom,Europe,100g,908,MedicineMan420
product 2,Oreoz,Cannabis,Buds & Flowers,Escrow,MedicineMan420,United Kingdom,Europe,1g,15,MedicineMan420
product 3,RS11 Hash,Cannabis,Hash,Escrow,MedicineMan420,United Kingdom,Europe,1g,14,MedicineMan420
product 4,Apricot Gelato,Cannabis,Buds & Flowers,Escrow,MedicineMan420,United Kingdom,Europe,1g,12,MedicineMan420
product 5,Import Shake,Cannabis,Buds & Flowers,Escrow,MedicineMan420,United Kingdom,Europe,3.5g,28,MedicineMan420
product 6,Fruity Pebbles,Cannabis,Buds & Flowers,Escrow,MedicineMan420,United Kingdom,Europe,1g,12,MedicineMan420
product 7,Jungle Grape Hash,Cannabis,Hash,Escrow,MedicineMan420,United Kingdom,Europe,1g,15,MedicineMan420
product 0,Rivotril 2mg Galenika,Benzodiazepines,Pills,Escrow,MedisinHuset,Norway,Norway,100,131,MedisinHuset
product 1,Ksalol 1mg Galenika,Benzodiazepines,Pills,Escrow,MedisinHuset,Norway,Norway,100,131,MedisinHuset
product 2,Zopiclone 10mg,Prescriptions,Other,Escrow,MedisinHuset,Norway,Norway,50,175,MedisinHuset
product 3,Bensedin 10mg Galenika,Benzodiazepines,Pills,Escrow,MedisinHuset,Norway,Norway,100,131,MedisinHuset
product 4,300mg Pregabalin Nervigesic Lyrica,Benzodiazepines,Pills,Escrow,MedisinHuset,Norway,Norway,50,175,MedisinHuset
product 5,TAPENTADOL,Prescriptions,Other,Escrow,MedisinHuset,Norway,Norway,50,175,MedisinHuset
product 6,MODAFINIL,Prescriptions,Other,Escrow,MedisinHuset,Norway,Norway,50,263,MedisinHuset
product 7,ARMODAFINIL,Prescriptions,Other,Escrow,MedisinHuset,Norway,Norway,50,263,MedisinHuset
product 0,Cialis 60mg (Tadalafil) Vidalista [NEW VENDOR OFFER],Prescriptions,Potency enhancers,Escrow,medsporter,United Kingdom,Worldwide,10,9,medsporter
product 1,Ultram 100mg (Tramadol) Top Dol [NEW VENDOR OFFER],Opiates,Pills,Escrow,medsporter,United Kingdom,Worldwide,10,10,medsporter
product 2,Provigil 200mg (Modafinil) Modvigil [NEW VENDOR OFFER],Stimulants,Smartdrugs,Escrow,medsporter,United Kingdom,Worldwide,10,8,medsporter
product 3,Klonopin 2mg (Clonazepam) Rivotril [NEW VENDOR OFFER],Benzodiazepines,Pills,Escrow,medsporter,United Kingdom,Worldwide,10,9,medsporter
product 4,Cialis 40mg (Tadalafil) Vidalista [NEW VENDOR OFFER],Prescriptions,Potency enhancers,Escrow,medsporter,United Kingdom,Worldwide,10,9,medsporter
product 5,Cialis 80mg (Tadalafil) Vidalista [NEW VENDOR OFFER],Prescriptions,Potency enhancers,Escrow,medsporter,United Kingdom,Worldwide,10,9,medsporter
product 6,Viagra 200mg (Sildenafil) Cenforce 200 [NEW VENDOR OFFER],Prescriptions,Potency enhancers,Escrow,medsporter,United Kingdom,Worldwide,10,11,medsporter
product 7,Imovane 10mg (Zopiclone) Zopisign [NEW VENDOR OFFER],Benzodiazepines,Pills,Escrow,medsporter,United Kingdom,Worldwide,14,10,medsporter
product 0,Tramadol 100mg (GER)  LEK,Opiates,Pills,Escrow,MEGATRON,Germany,Worldwide,100,99,MEGATRON
product 1,Ksalol 1mg galenika ALPRAZOLAM (GER) (10 blisters =150 pills,Benzodiazepines,Pills,Escrow,MEGATRON,Germany,Worldwide,150,94,MEGATRON
product 2,"Lorazepam 2,5mg (GER) Hemofarm ATIVAN",Benzodiazepines,Pills,Escrow,MEGATRON,Germany,Worldwide,100,94,MEGATRON
